percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.05,1.09,1.04,1.05,1.05
1.05,1.09,1.04,1.05,1.05
1.05,1.09,1.04,1.05,1.05
1.05,1.09,1.04,1.05,1.05
1.06,1.09,1.04,1.05,1.05
1.05,1.09,1.04,1.05,1.04
1.05,1.09,1.04,1.05,1.05
1.06,1.1,1.04,1.05,1.05
1.05,1.1,1.04,1.05,1.04
1.06,1.09,1.04,1.05,1.05
1.05,1.1,1.04,1.05,1.05
1.05,1.1,1.04,1.05,1.05
1.05,1.09,1.04,1.05,1.05
1.05,1.1,1.04,1.05,1.05
1.05,1.09,1.04,1.05,1.05
1.04,1.1,1.05,1.05,1.05
1.04,1.1,1.04,1.05,1.05
1.04,1.1,1.05,1.05,1.05
1.04,1.09,1.04,1.05,1.05
1.05,1.09,1.04,1.05,1.05
1.05,1.1,1.04,1.05,1.05
1.05,1.1,1.05,1.04,1.05
1.03,1.1,1.04,1.05,1.05
1.05,1.09,1.05,1.05,1.05
1.05,1.1,1.04,1.05,1.04
1.05,1.09,1.05,1.05,1.05
1.05,1.09,1.04,1.05,1.04
1.05,1.09,1.04,1.05,1.05
1.05,1.1,1.05,1.05,1.05
1.05,1.1,1.05,1.05,1.05
1.05,1.1,1.04,1.05,1.05
1.05,1.1,1.05,1.05,1.05
1.05,1.1,1.05,1.05,1.05
1.05,1.1,1.05,1.05,1.05
1.05,1.1,1.04,1.05,1.05
1.06,1.1,1.05,1.05,1.05
1.06,1.1,1.04,1.05,1.05
1.06,1.1,1.04,1.05,1.05
1.05,1.1,1.05,1.05,1.05
1.06,1.1,1.04,1.05,1.06
1.06,1.1,1.05,1.05,1.05
1.06,1.1,1.05,1.05,1.05
1.06,1.1,1.05,1.05,1.05
1.06,1.1,1.05,1.05,1.05
1.06,1.1,1.05,1.04,1.05
1.07,1.1,1.05,1.05,1.05
1.06,1.1,1.05,1.05,1.05
1.07,1.1,1.05,1.05,1.05
1.07,1.1,1.05,1.05,1.04
1.07,1.1,1.05,1.05,1.05
1.07,1.1,1.05,1.05,1.05
1.07,1.1,1.05,1.06,1.05
1.07,1.1,1.05,1.05,1.04
1.08,1.11,1.05,1.05,1.05
1.07,1.1,1.05,1.05,1.05
1.08,1.1,1.05,1.05,1.05
1.08,1.1,1.05,1.05,1.05
1.08,1.1,1.04,1.05,1.05
1.08,1.11,1.05,1.05,1.05
1.08,1.1,1.05,1.05,1.05
